시도명,시군구명,읍면동명,리명,순위,생성일자,삭제일자,과거법정동코드
서울특별시,,,,11.0,1988-04-23,,
서울특별시,종로구,,,1.0,1988-04-23,,
서울특별시,종로구,청운동,,1.0,1988-04-23,,
서울특별시,종로구,신교동,,2.0,1988-04-23,,
서울특별시,종로구,궁정동,,3.0,1988-04-23,,
서울특별시,종로구,효자동,,4.0,1988-04-23,,
서울특별시,종로구,창성동,,5.0,1988-04-23,,
서울특별시,종로구,통의동,,6.0,1988-04-23,,
서울특별시,종로구,적선동,,7.0,1988-04-23,,
서울특별시,종로구,통인동,,8.0,1988-04-23,,
서울특별시,종로구,누상동,,9.0,1988-04-23,,
서울특별시,종로구,누하동,,10.0,1988-04-23,,
서울특별시,종로구,옥인동,,11.0,1988-04-23,,
서울특별시,종로구,체부동,,12.0,1988-04-23,,
서울특별시,종로구,필운동,,13.0,1988-04-23,,
서울특별시,종로구,내자동,,14.0,1988-04-23,,
서울특별시,종로구,사직동,,15.0,1988-04-23,,
서울특별시,종로구,도렴동,,16.0,1998-12-01,,
서울특별시,종로구,당주동,,17.0,1998-12-01,,
서울특별시,종로구,내수동,,18.0,1998-12-01,,
서울특별시,종로구,세종로,,19.0,1998-12-01,,
서울특별시,종로구,신문로1가,,20.0,1998-12-01,,
서울특별시,종로구,신문로2가,,21.0,1998-12-01,,
서울특별시,종로구,청진동,,22.0,1998-12-01,,
서울특별시,종로구,서린동,,23.0,1998-12-01,,
서울특별시,종로구,수송동,,24.0,1998-12-01,,
서울특별시,종로구,중학동,,25.0,1998-12-01,,
서울특별시,종로구,종로1가,,26.0,1998-12-01,,
서울특별시,종로구,공평동,,27.0,1998-12-01,,
서울특별시,종로구,관훈동,,28.0,1998-12-01,,
서울특별시,종로구,견지동,,29.0,1998-12-01,,
서울특별시,종로구,와룡동,,30.0,1998-12-01,,
서울특별시,종로구,권농동,,31.0,1998-12-01,,
서울특별시,종로구,운니동,,32.0,1998-12-01,,
서울특별시,종로구,익선동,,33.0,1998-12-01,,
서울특별시,종로구,경운동,,34.0,1998-12-01,,
서울특별시,종로구,관철동,,35.0,1998-12-01,,
서울특별시,종로구,인사동,,36.0,1998-12-01,,
서울특별시,종로구,낙원동,,37.0,1998-12-01,,
